25.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -7.0, '2404247023': -3.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
75.0,'2404247020': -5.0, '2404247023': -49.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
100.0,'2404247020': -64.0, '2404247023': -138.0,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 4,
125.0,'2404247020': -56.0, '2404247023': -17.0,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 3,
150.0,'2404247020': -20.0, '2404247023': -100.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
175.0,'2404247020': -8.0, '2404247023': -200.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
200.0,'2404247020': -54.0, '2404247023': -37.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
225.0,'2404247020': -145.0, '2404247023': -10.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
250.0,'2404247020': -20.0, '2404247023': -54.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
275.0,'2404247020': -41.0, '2404247023': -71.0,'2404247020': 3, '2404247023': 1,'2404247020': 3, '2404247023': 2,
300.0,'2404247020': -21.0, '2404247023': -26.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
325.0,'2404247020': -44.0, '2404247023': -6.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
350.0,'2404247020': -142.0, '2404247023': -32.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 3,
375.0,'2404247020': -242.0, '2404247023': -125.0,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
400.0,'2404247020': -16.0, '2404247023': -21.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
425.0,'2404247020': -42.0, '2404247023': -186.0,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 8,
450.0,'2404247020': -18.0, '2404247023': -310.0,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 7,
475.0,'2404247020': -100.0, '2404247023': -342.0,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 5,
500.0,'2404247020': -202.0, '2404247023': -498.0,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 8,
525.0,'2404247020': -11.0, '2404247023': -33.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
550.0,'2404247020': -10.0, '2404247023': -113.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
575.0,'2404247020': 0, '2404247023': -68.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 5,
600.0,'2404247020': 0, '2404247023': -92.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 6,
625.0,'2404247020': -15.0, '2404247023': -130.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
650.0,'2404247020': -82.0, '2404247023': -150.0,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 6,
675.0,'2404247020': -182.0, '2404247023': -86.0,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 4,
700.0,'2404247020': -282.0, '2404247023': -232.0,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 7,
725.0,'2404247020': 0, '2404247023': -139.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 3,
750.0,'2404247020': -15.0, '2404247023': -191.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
