25.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -7.0, 'cluster_254337786_31404743': 0, 'cluster_537912_578689': -10.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 0, 'cluster_537912_578689': 1,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 0, 'cluster_537912_578689': 1,
50.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -53.0, 'cluster_254337786_31404743': -22.0, 'cluster_537912_578689': -12.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 1, 'cluster_537912_578689': 1,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 1, 'cluster_537912_578689': 2,
75.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -19.0, 'cluster_254337786_31404743': -31.0, 'cluster_537912_578689': -95.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 1, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 7,
100.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -83.0, 'cluster_254337786_31404743': -113.0, 'cluster_537912_578689': -238.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 8,
125.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -289.0, 'cluster_254337786_31404743': -219.0, 'cluster_537912_578689': -192.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 6,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 13, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 8,
150.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -474.0, 'cluster_254337786_31404743': -241.0, 'cluster_537912_578689': -102.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 15, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 5,
175.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -904.0, 'cluster_254337786_31404743': -117.0, 'cluster_537912_578689': -192.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 23, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 8,
200.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1459.0, 'cluster_254337786_31404743': -150.0, 'cluster_537912_578689': -206.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 24, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 8,
225.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -2182.0, 'cluster_254337786_31404743': -254.0, 'cluster_537912_578689': -141.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 33, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 5,
250.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -385.0, 'cluster_254337786_31404743': -181.0, 'cluster_537912_578689': -125.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 8, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 5,
275.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -47.0, 'cluster_254337786_31404743': -352.0, 'cluster_537912_578689': -290.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 14, 'cluster_537912_578689': 13,
300.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -170.0, 'cluster_254337786_31404743': -691.0, 'cluster_537912_578689': -667.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 15, 'cluster_537912_578689': 16,
325.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -171.0, 'cluster_254337786_31404743': -473.0, 'cluster_537912_578689': -713.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 12, 'cluster_537912_578689': 14,
350.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -276.0, 'cluster_254337786_31404743': -717.0, 'cluster_537912_578689': -229.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 10, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 9,
375.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -291.0, 'cluster_254337786_31404743': -365.0, 'cluster_537912_578689': -224.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 10,
400.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -129.0, 'cluster_254337786_31404743': -143.0, 'cluster_537912_578689': -373.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 10, 'cluster_537912_578689': 9,
425.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -340.0, 'cluster_254337786_31404743': -283.0, 'cluster_537912_578689': -458.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 7,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 13, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 10,
450.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -435.0, 'cluster_254337786_31404743': -56.0, 'cluster_537912_578689': -118.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 1, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 8, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,
475.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -133.0, 'cluster_254337786_31404743': -157.0, 'cluster_537912_578689': -176.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 14, 'cluster_254337786_31404743': 10, 'cluster_537912_578689': 7,
500.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -127.0, 'cluster_254337786_31404743': -252.0, 'cluster_537912_578689': -360.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 10,
525.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -162.0, 'cluster_254337786_31404743': -256.0, 'cluster_537912_578689': -640.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 15,
550.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -304.0, 'cluster_254337786_31404743': -98.0, 'cluster_537912_578689': -174.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 7,
575.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -606.0, 'cluster_254337786_31404743': -152.0, 'cluster_537912_578689': -374.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 17, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 8,
600.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -684.0, 'cluster_254337786_31404743': -224.0, 'cluster_537912_578689': -121.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 16, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 4,
625.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -55.0, 'cluster_254337786_31404743': -139.0, 'cluster_537912_578689': -96.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 1, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 9,
650.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -85.0, 'cluster_254337786_31404743': -288.0, 'cluster_537912_578689': -405.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 12, 'cluster_537912_578689': 19,
675.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -304.0, 'cluster_254337786_31404743': -603.0, 'cluster_537912_578689': -762.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 12, 'cluster_254337786_31404743': 16, 'cluster_537912_578689': 17,
700.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -148.0, 'cluster_254337786_31404743': -397.0, 'cluster_537912_578689': -1166.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 13, 'cluster_537912_578689': 17,
725.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -90.0, 'cluster_254337786_31404743': -761.0, 'cluster_537912_578689': -108.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 15, 'cluster_537912_578689': 5,
750.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -409.0, 'cluster_254337786_31404743': -1191.0, 'cluster_537912_578689': -136.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 17, 'cluster_254337786_31404743': 18, 'cluster_537912_578689': 5,
775.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -638.0, 'cluster_254337786_31404743': -788.0, 'cluster_537912_578689': -149.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 17, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 5,
800.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1111.0, 'cluster_254337786_31404743': -498.0, 'cluster_537912_578689': -227.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 20, 'cluster_254337786_31404743': 10, 'cluster_537912_578689': 8,
825.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1350.0, 'cluster_254337786_31404743': -381.0, 'cluster_537912_578689': -145.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 1,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 22, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 6,
850.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1956.0, 'cluster_254337786_31404743': -697.0, 'cluster_537912_578689': -109.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 31, 'cluster_254337786_31404743': 15, 'cluster_537912_578689': 3,
875.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -2707.0, 'cluster_254337786_31404743': -1052.0, 'cluster_537912_578689': -227.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 33, 'cluster_254337786_31404743': 17, 'cluster_537912_578689': 5,
900.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -96.0, 'cluster_254337786_31404743': -359.0, 'cluster_537912_578689': -249.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 5,
925.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -70.0, 'cluster_254337786_31404743': -266.0, 'cluster_537912_578689': -226.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 19,
950.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -182.0, 'cluster_254337786_31404743': -265.0, 'cluster_537912_578689': -322.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 12, 'cluster_537912_578689': 12,
975.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -364.0, 'cluster_254337786_31404743': -593.0, 'cluster_537912_578689': -318.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 20, 'cluster_254337786_31404743': 15, 'cluster_537912_578689': 12,
1000.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -754.0, 'cluster_254337786_31404743': -777.0, 'cluster_537912_578689': -366.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 20, 'cluster_254337786_31404743': 15, 'cluster_537912_578689': 8,
1025.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -369.0, 'cluster_254337786_31404743': -238.0, 'cluster_537912_578689': -261.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 8,
1050.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -106.0, 'cluster_254337786_31404743': -442.0, 'cluster_537912_578689': -593.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 19,
1075.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -328.0, 'cluster_254337786_31404743': -696.0, 'cluster_537912_578689': -848.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 11, 'cluster_254337786_31404743': 12, 'cluster_537912_578689': 14,
