25.0,'2404247020': 0.0, '2404247023': 0.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -0.026785715, '2404247023': -0.08035714,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
75.0,'2404247020': -0.4375, '2404247023': -0.04464286,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
100.0,'2404247020': -0.9776786, '2404247023': -0.19196428,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
125.0,'2404247020': -0.12053572, '2404247023': -0.52678573,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
150.0,'2404247020': -0.12946428, '2404247023': -0.44642857,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
175.0,'2404247020': -0.15625, '2404247023': -0.09821428,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
200.0,'2404247020': -0.116071425, '2404247023': -0.16964285,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
225.0,'2404247020': -0.40625, '2404247023': -0.69196427,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 6,
250.0,'2404247020': -0.14732143, '2404247023': -0.56696427,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
275.0,'2404247020': -0.3705357, '2404247023': -0.07589286,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
300.0,'2404247020': -0.22767857, '2404247023': -0.1875,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
325.0,'2404247020': -0.82589287, '2404247023': -0.4955357,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 3,
350.0,'2404247020': -0.035714287, '2404247023': -0.7901786,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
375.0,'2404247020': -0.058035713, '2404247023': -1.4151785,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 7,
400.0,'2404247020': -0.35714287, '2404247023': -1.4017857,'2404247020': 3, '2404247023': 3,'2404247020': 3, '2404247023': 5,
425.0,'2404247020': -0.69196427, '2404247023': -1.8169643,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 5,
450.0,'2404247020': -1.2098215, '2404247023': -2.455357,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 6,
475.0,'2404247020': -1.7991072, '2404247023': -3.2098215,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 7,
500.0,'2404247020': -0.008928572, '2404247023': -3.03125,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 8,
525.0,'2404247020': -0.39732143, '2404247023': -3.03125,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 6,
550.0,'2404247020': -1.3303572, '2404247023': -3.59375,'2404247020': 4, '2404247023': 3,'2404247020': 10, '2404247023': 6,
575.0,'2404247020': -2.575893, '2404247023': -3.2410715,'2404247020': 4, '2404247023': 3,'2404247020': 12, '2404247023': 4,
600.0,'2404247020': -1.8616072, '2404247023': -4.0,'2404247020': 2, '2404247023': 3,'2404247020': 6, '2404247023': 11,
625.0,'2404247020': -2.53125, '2404247023': -4.0,'2404247020': 2, '2404247023': 5,'2404247020': 6, '2404247023': 16,
650.0,'2404247020': -3.2232144, '2404247023': -4.0,'2404247020': 2, '2404247023': 6,'2404247020': 7, '2404247023': 17,
675.0,'2404247020': -0.27232143, '2404247023': -4.0,'2404247020': 2, '2404247023': 7,'2404247020': 5, '2404247023': 21,
700.0,'2404247020': -0.41964287, '2404247023': -4.0,'2404247020': 2, '2404247023': 7,'2404247020': 4, '2404247023': 20,
725.0,'2404247020': -0.70535713, '2404247023': -4.0,'2404247020': 2, '2404247023': 5,'2404247020': 3, '2404247023': 16,
750.0,'2404247020': -1.2053572, '2404247023': -4.0,'2404247020': 3, '2404247023': 5,'2404247020': 5, '2404247023': 15,
775.0,'2404247020': -0.17410715, '2404247023': -4.0,'2404247020': 2, '2404247023': 5,'2404247020': 2, '2404247023': 13,
800.0,'2404247020': -0.125, '2404247023': -3.857143,'2404247020': 2, '2404247023': 4,'2404247020': 3, '2404247023': 9,
825.0,'2404247020': -0.26785713, '2404247023': -4.0,'2404247020': 2, '2404247023': 4,'2404247020': 5, '2404247023': 12,
850.0,'2404247020': -0.95535713, '2404247023': -1.9732143,'2404247020': 2, '2404247023': 2,'2404247020': 7, '2404247023': 7,
875.0,'2404247020': -0.29017857, '2404247023': -1.3169643,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 4,
900.0,'2404247020': -0.9598214, '2404247023': -0.102678575,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 3,
925.0,'2404247020': -0.03125, '2404247023': -0.5401786,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 7,
950.0,'2404247020': -0.058035713, '2404247023': -1.34375,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 8,
975.0,'2404247020': -0.5535714, '2404247023': -1.7232143,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 8,
1000.0,'2404247020': -1.1964285, '2404247023': -2.5223215,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 8,
1025.0,'2404247020': -0.16964285, '2404247023': -3.5535715,'2404247020': 2, '2404247023': 5,'2404247020': 2, '2404247023': 11,
1050.0,'2404247020': -0.68303573, '2404247023': -4.0,'2404247020': 3, '2404247023': 5,'2404247020': 8, '2404247023': 13,
1075.0,'2404247020': -0.03125, '2404247023': -4.0,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 9,
1100.0,'2404247020': -0.3794643, '2404247023': -4.0,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 12,
1125.0,'2404247020': -0.90178573, '2404247023': -4.0,'2404247020': 3, '2404247023': 4,'2404247020': 5, '2404247023': 14,
1150.0,'2404247020': -1.4598215, '2404247023': -4.0,'2404247020': 3, '2404247023': 4,'2404247020': 5, '2404247023': 14,
1175.0,'2404247020': -2.017857, '2404247023': -4.0,'2404247020': 3, '2404247023': 4,'2404247020': 5, '2404247023': 15,
1200.0,'2404247020': -2.575893, '2404247023': -4.0,'2404247020': 3, '2404247023': 4,'2404247020': 5, '2404247023': 19,
1225.0,'2404247020': -3.1339285, '2404247023': -4.0,'2404247020': 3, '2404247023': 4,'2404247020': 5, '2404247023': 20,
1250.0,'2404247020': -0.16071428, '2404247023': -3.6339285,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 8,
1275.0,'2404247020': -0.59821427, '2404247023': -3.544643,'2404247020': 3, '2404247023': 2,'2404247020': 9, '2404247023': 7,
1300.0,'2404247020': -1.4732143, '2404247023': -0.6875,'2404247020': 5, '2404247023': 2,'2404247020': 13, '2404247023': 5,
1325.0,'2404247020': -1.375, '2404247023': -1.1205357,'2404247020': 2, '2404247023': 3,'2404247020': 7, '2404247023': 11,
1350.0,'2404247020': -1.2991072, '2404247023': -1.4196428,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 10,
