25.0,'2404247020': -0.03125, '2404247023': 0.0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
50.0,'2404247020': -0.013392857, '2404247023': -0.035714287,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
75.0,'2404247020': -0.3169643, '2404247023': -0.2767857,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 3,
100.0,'2404247020': -0.8660714, '2404247023': -0.71428573,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 5,
125.0,'2404247020': -1.4241072, '2404247023': -1.0223215,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 6,
150.0,'2404247020': -0.084821425, '2404247023': -1.3839285,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 9,
175.0,'2404247020': -0.54910713, '2404247023': -1.90625,'2404247020': 2, '2404247023': 4,'2404247020': 6, '2404247023': 8,
200.0,'2404247020': -0.15625, '2404247023': -2.799107,'2404247020': 2, '2404247023': 4,'2404247020': 3, '2404247023': 8,
225.0,'2404247020': -0.58035713, '2404247023': -1.4464285,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 4,
250.0,'2404247020': -0.08928572, '2404247023': -0.26785713,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
275.0,'2404247020': -0.1875, '2404247023': -1.125,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 9,
300.0,'2404247020': -0.5223214, '2404247023': -2.1651785,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 10,
325.0,'2404247020': -0.9464286, '2404247023': -1.2633928,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 5,
350.0,'2404247020': -1.5044643, '2404247023': -1.96875,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 7,
375.0,'2404247020': -2.0625, '2404247023': -2.9598215,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 10,
400.0,'2404247020': -2.6205356, '2404247023': -2.2455356,'2404247020': 3, '2404247023': 5,'2404247020': 5, '2404247023': 12,
425.0,'2404247020': -0.12946428, '2404247023': -3.7544644,'2404247020': 2, '2404247023': 6,'2404247020': 4, '2404247023': 17,
450.0,'2404247020': -0.116071425, '2404247023': -4.0,'2404247020': 2, '2404247023': 6,'2404247020': 3, '2404247023': 15,
475.0,'2404247020': -0.60714287, '2404247023': -4.0,'2404247020': 3, '2404247023': 6,'2404247020': 5, '2404247023': 15,
500.0,'2404247020': -1.1651785, '2404247023': -4.0,'2404247020': 2, '2404247023': 7,'2404247020': 5, '2404247023': 17,
525.0,'2404247020': -0.084821425, '2404247023': -4.0,'2404247020': 1, '2404247023': 4,'2404247020': 2, '2404247023': 11,
550.0,'2404247020': -0.41517857, '2404247023': -4.0,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 11,
575.0,'2404247020': -1.0714285, '2404247023': -4.0,'2404247020': 2, '2404247023': 4,'2404247020': 6, '2404247023': 13,
600.0,'2404247020': -1.7410715, '2404247023': -4.0,'2404247020': 2, '2404247023': 7,'2404247020': 6, '2404247023': 18,
625.0,'2404247020': -2.486607, '2404247023': -4.0,'2404247020': 3, '2404247023': 9,'2404247020': 7, '2404247023': 22,
650.0,'2404247020': -3.2857144, '2404247023': -4.0,'2404247020': 3, '2404247023': 10,'2404247020': 8, '2404247023': 25,
675.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 4, '2404247023': 12,'2404247020': 10, '2404247023': 28,
700.0,'2404247020': -3.361607, '2404247023': -4.0,'2404247020': 6, '2404247023': 11,'2404247020': 11, '2404247023': 25,
725.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 6, '2404247023': 10,'2404247020': 14, '2404247023': 18,
750.0,'2404247020': -2.1473215, '2404247023': -4.0,'2404247020': 3, '2404247023': 9,'2404247020': 5, '2404247023': 18,
775.0,'2404247020': -0.26339287, '2404247023': -4.0,'2404247020': 3, '2404247023': 9,'2404247020': 4, '2404247023': 23,
800.0,'2404247020': -0.14285715, '2404247023': -4.0,'2404247020': 2, '2404247023': 9,'2404247020': 3, '2404247023': 24,
825.0,'2404247020': -0.53571427, '2404247023': -4.0,'2404247020': 3, '2404247023': 8,'2404247020': 4, '2404247023': 21,
850.0,'2404247020': -0.03125, '2404247023': -4.0,'2404247020': 1, '2404247023': 6,'2404247020': 1, '2404247023': 21,
875.0,'2404247020': -0.3080357, '2404247023': -4.0,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 8,
900.0,'2404247020': -0.013392857, '2404247023': -4.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 7,
925.0,'2404247020': -0.18303572, '2404247023': -2.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
950.0,'2404247020': -0.013392857, '2404247023': -2.4464285,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
975.0,'2404247020': -0.058035713, '2404247023': -2.892857,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
1000.0,'2404247020': -0.36160713, '2404247023': -3.3660715,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 5,
1025.0,'2404247020': -0.58035713, '2404247023': -3.7857144,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 4,
1050.0,'2404247020': -0.87053573, '2404247023': -3.15625,'2404247020': 3, '2404247023': 2,'2404247020': 7, '2404247023': 4,
1075.0,'2404247020': -0.72321427, '2404247023': -1.34375,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 6,
1100.0,'2404247020': -0.42410713, '2404247023': -1.5758928,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
1125.0,'2404247020': -0.73214287, '2404247023': -1.6071428,'2404247020': 3, '2404247023': 2,'2404247020': 7, '2404247023': 2,
1150.0,'2404247020': -1.3616072, '2404247023': -0.02232143,'2404247020': 4, '2404247023': 1,'2404247020': 10, '2404247023': 1,
1175.0,'2404247020': -0.62053573, '2404247023': -0.19642857,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 4,
1200.0,'2404247020': -0.78125, '2404247023': -0.625,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 6,
1225.0,'2404247020': -1.3660715, '2404247023': -0.62946427,'2404247020': 2, '2404247023': 3,'2404247020': 8, '2404247023': 8,
1250.0,'2404247020': -0.25, '2404247023': -1.0669643,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 6,
1275.0,'2404247020': -0.76339287, '2404247023': -0.71428573,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 5,
1300.0,'2404247020': -1.625, '2404247023': -1.3258928,'2404247020': 4, '2404247023': 2,'2404247020': 10, '2404247023': 6,
1325.0,'2404247020': -2.830357, '2404247023': -2.107143,'2404247020': 5, '2404247023': 2,'2404247020': 12, '2404247023': 8,
1350.0,'2404247020': -4.0, '2404247023': -3.142857,'2404247020': 7, '2404247023': 3,'2404247020': 14, '2404247023': 10,
1375.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 7, '2404247023': 4,'2404247020': 14, '2404247023': 11,
1400.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 10, '2404247023': 5,'2404247020': 17, '2404247023': 14,
1425.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 12, '2404247023': 6,'2404247020': 19, '2404247023': 15,
1450.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 14, '2404247023': 7,'2404247020': 21, '2404247023': 19,
1475.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 16, '2404247023': 7,'2404247020': 24, '2404247023': 18,
1500.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 18, '2404247023': 8,'2404247020': 20, '2404247023': 17,
1525.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 18, '2404247023': 7,'2404247020': 28, '2404247023': 18,
1550.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 7, '2404247023': 7,'2404247020': 16, '2404247023': 16,
1575.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 11, '2404247023': 5,'2404247020': 17, '2404247023': 15,
1600.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 11, '2404247023': 5,'2404247020': 21, '2404247023': 15,
1625.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 11, '2404247023': 5,'2404247020': 22, '2404247023': 16,
1650.0,'2404247020': -4.0, '2404247023': -3.2767856,'2404247020': 6, '2404247023': 3,'2404247020': 13, '2404247023': 9,
1675.0,'2404247020': -3.1830356, '2404247023': -4.0,'2404247020': 6, '2404247023': 3,'2404247020': 14, '2404247023': 13,
1700.0,'2404247020': -3.794643, '2404247023': -2.9732144,'2404247020': 9, '2404247023': 3,'2404247020': 13, '2404247023': 6,
1725.0,'2404247020': -4.0, '2404247023': -1.9241072,'2404247020': 9, '2404247023': 3,'2404247020': 16, '2404247023': 5,
1750.0,'2404247020': -3.6339285, '2404247023': -0.74553573,'2404247020': 6, '2404247023': 1,'2404247020': 12, '2404247023': 4,
1775.0,'2404247020': -1.8482143, '2404247023': -1.3035715,'2404247020': 2, '2404247023': 2,'2404247020': 7, '2404247023': 6,
1800.0,'2404247020': -1.2142857, '2404247023': -0.99553573,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
1825.0,'2404247020': -1.7723215, '2404247023': -1.6116072,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 8,
1850.0,'2404247020': -2.4419644, '2404247023': -2.6785715,'2404247020': 2, '2404247023': 3,'2404247020': 6, '2404247023': 11,
