25.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.03125, 'cluster_254337786_31404743': -0.004464286, 'cluster_537912_578689': -0.05357143,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 1, 'cluster_537912_578689': 1,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 1, 'cluster_537912_578689': 1,
50.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.07589286, 'cluster_254337786_31404743': -0.116071425, 'cluster_537912_578689': -0.3169643,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 1, 'cluster_537912_578689': 1,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 1, 'cluster_537912_578689': 4,
75.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.2544643, 'cluster_254337786_31404743': -0.38839287, 'cluster_537912_578689': -0.6651786,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 9,
100.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.8035714, 'cluster_254337786_31404743': -1.03125, 'cluster_537912_578689': -1.7008928,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 10,
125.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1.1294643, 'cluster_254337786_31404743': -1.7723215, 'cluster_537912_578689': -3.1517856,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 7,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 16,
150.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -2.017857, 'cluster_254337786_31404743': -1.8883928, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 9, 'cluster_537912_578689': 22,
175.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -3.03125, 'cluster_254337786_31404743': -2.9285715, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 10,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 10, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 15,
200.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -3.5357144, 'cluster_254337786_31404743': -1.0401785, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 12,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 15, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 19,
225.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -2.982143, 'cluster_254337786_31404743': -1.09375, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 12,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 18, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 23,
250.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -2.9732144, 'cluster_254337786_31404743': -0.78571427, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 12,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 18, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 18,
275.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.32142857, 'cluster_254337786_31404743': -1.53125, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 11,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 18,
300.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.82589287, 'cluster_254337786_31404743': -2.736607, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 10,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 8, 'cluster_254337786_31404743': 13, 'cluster_537912_578689': 26,
325.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.90178573, 'cluster_254337786_31404743': -3.205357, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 11,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 12, 'cluster_537912_578689': 30,
350.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1.2053572, 'cluster_254337786_31404743': -4.0, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 12, 'cluster_537912_578689': 24,
375.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1.6830357, 'cluster_254337786_31404743': -0.19196428, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 1, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 10, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 17,
400.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -3.4598215, 'cluster_254337786_31404743': -0.5535714, 'cluster_537912_578689': -2.736607,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 21, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 14,
425.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -1.0401785, 'cluster_537912_578689': -3.6026785,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 8, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 6,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 27, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 12,
450.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -2.1205356, 'cluster_254337786_31404743': -0.96428573, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 6,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 14,
475.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -2.7098215, 'cluster_254337786_31404743': -1.6830357, 'cluster_537912_578689': -3.6026785,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 6,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 12, 'cluster_537912_578689': 14,
500.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1.1205357, 'cluster_254337786_31404743': -1.8169643, 'cluster_537912_578689': -1.8258928,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 14, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 7,
525.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.4732143, 'cluster_254337786_31404743': -2.169643, 'cluster_537912_578689': -2.3035715,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 8,
550.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.68303573, 'cluster_254337786_31404743': -3.107143, 'cluster_537912_578689': -3.450893,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 13,
575.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1.0, 'cluster_254337786_31404743': -1.3705357, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 11,
600.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1.7767857, 'cluster_254337786_31404743': -2.2723215, 'cluster_537912_578689': -1.2901785,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 10, 'cluster_254337786_31404743': 9, 'cluster_537912_578689': 6,
625.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -3.232143, 'cluster_254337786_31404743': -3.0223215, 'cluster_537912_578689': -1.8660715,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 14, 'cluster_254337786_31404743': 9, 'cluster_537912_578689': 8,
650.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -3.294643, 'cluster_254337786_31404743': -2.799107, 'cluster_537912_578689': -0.5089286,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 6,
675.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -2.4732144, 'cluster_254337786_31404743': -3.5625, 'cluster_537912_578689': -1.03125,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 14, 'cluster_254337786_31404743': 10, 'cluster_537912_578689': 13,
700.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -3.107143, 'cluster_254337786_31404743': -0.98660713, 'cluster_537912_578689': -0.48214287,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 8, 'cluster_254337786_31404743': 10, 'cluster_537912_578689': 4,
725.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.125, 'cluster_254337786_31404743': -1.7857143, 'cluster_537912_578689': -1.3660715,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 15, 'cluster_537912_578689': 11,
750.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.56696427, 'cluster_254337786_31404743': -1.8839285, 'cluster_537912_578689': -2.65625,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 13, 'cluster_537912_578689': 12,
775.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1.6071428, 'cluster_254337786_31404743': -3.232143, 'cluster_537912_578689': -2.90625,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 11, 'cluster_254337786_31404743': 14, 'cluster_537912_578689': 12,
800.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -2.8080356, 'cluster_254337786_31404743': -3.6026785, 'cluster_537912_578689': -2.0044644,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 18, 'cluster_254337786_31404743': 12, 'cluster_537912_578689': 7,
825.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1.2767857, 'cluster_254337786_31404743': -4.0, 'cluster_537912_578689': -2.96875,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 8, 'cluster_254337786_31404743': 16, 'cluster_537912_578689': 10,
850.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1.1160715, 'cluster_254337786_31404743': -0.39285713, 'cluster_537912_578689': -3.8794644,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 10,
875.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1.0714285, 'cluster_254337786_31404743': -1.125, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 10, 'cluster_254337786_31404743': 10, 'cluster_537912_578689': 12,
900.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -2.7232144, 'cluster_254337786_31404743': -1.6830357, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 16, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 10,
925.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1.1830357, 'cluster_254337786_31404743': -3.169643, 'cluster_537912_578689': -1.5223215,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 8, 'cluster_254337786_31404743': 14, 'cluster_537912_578689': 8,
950.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.8973214, 'cluster_254337786_31404743': -2.7544644, 'cluster_537912_578689': -2.299107,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 13, 'cluster_537912_578689': 19,
